id|state|city|zip|primary|something|county|area code
541|MI|Eau Claire|49111|1|42|Berrien|269
542|MI|Edwardsburg|49112|1|42|Cass|269
543|MI|Galien|49113|1|42|Berrien|269
544|MI|Lakeside|49116|1|42|Berrien|269
545|MI|New Buffalo|49117|1|42|Berrien|269
546|MI|Niles|49120|1|42|Berrien|269
547|MI|Sawyer|49125|1|42|Berrien|269
548|MI|Sodus|49126|1|42|Berrien|269
549|MI|Stevensville|49127|1|42|Berrien|269
550|MI|Three Oaks|49128|1|42|Berrien|269
551|MI|Union Pier|49129|1|42|Berrien|269
552|MI|Union|49130|1|42|Cass|269
553|MI|Jackson|49201|1|42|Jackson|517
554|MI|Jackson|49202|1|42|Jackson|517
555|MI|Jackson|49203|1|42|Jackson|517
556|MI|Addison|49220|1|42|Lenawee|517
557|MI|Adrian|49221|1|42|Lenawee|517
558|MI|Albion|49224|1|42|Calhoun|517
559|MI|Allen|49227|1|42|Hillsdale|517
560|MI|Blissfield|49228|1|42|Lenawee|517
561|MI|Britton|49229|1|42|Lenawee|517
562|MI|Brooklyn|49230|1|42|Jackson|517
563|MI|Camden|49232|1|42|Hillsdale|517
564|MI|Cement City|49233|1|42|Lenawee|517
565|MI|Clarklake|49234|1|42|Jackson|517
566|MI|Clayton|49235|1|42|Lenawee|517
567|MI|Clinton|49236|1|42|Lenawee|517
568|MI|Concord|49237|1|42|Jackson|517
569|MI|Deerfield|49238|1|42|Lenawee|517
570|MI|Grass Lake|49240|1|42|Jackson|517
571|MI|Hanover|49241|1|42|Jackson|517
572|MI|Hillsdale|49242|1|42|Hillsdale|517
573|MI|Homer|49245|1|42|Calhoun|517
574|MI|Horton|49246|1|42|Jackson|517
575|MI|Hudson|49247|1|42|Lenawee|517
576|MI|Jasper|49248|1|42|Lenawee|517
577|MI|Jerome|49249|1|42|Hillsdale|517
578|MI|Jonesville|49250|1|42|Hillsdale|517
579|MI|Leslie|49251|1|42|Ingham|517
580|MI|Litchfield|49252|1|42|Hillsdale|517
581|MI|Manitou Beach|49253|1|42|Lenawee|517
582|MI|Michigan Center|49254|1|42|Jackson|517
583|MI|Montgomery|49255|1|42|Branch|517
584|MI|Morenci|49256|1|42|Lenawee|517
585|MI|Munith|49259|1|42|Jackson|517
586|MI|North Adams|49262|1|42|Hillsdale|517
587|MI|Onondaga|49264|1|42|Ingham|517
588|MI|Onsted|49265|1|42|Lenawee|517
589|MI|Osseo|49266|1|42|Hillsdale|517
590|MI|Ottawa Lake|49267|1|42|Monroe|734
591|MI|Palmyra|49268|1|42|Lenawee|517
592|MI|Parma|49269|1|42|Jackson|517
593|MI|Petersburg|49270|1|42|Monroe|734
594|MI|Pittsford|49271|1|42|Hillsdale|517
595|MI|Pleasant Lake|49272|1|42|Jackson|517
596|MI|Reading|49274|1|42|Hillsdale|517
597|MI|Riga|49276|1|42|Lenawee|517
598|MI|Rives Junction|49277|1|42|Jackson|517
599|MI|Sand Creek|49279|1|42|Lenawee|517
600|MI|Somerset Center|49282|1|42|Hillsdale|517
601|MI|Spring Arbor|49283|1|42|Jackson|517
602|MI|Springport|49284|1|42|Jackson|517
603|MI|Stockbridge|49285|1|42|Ingham|517
604|MI|Tecumseh|49286|1|42|Lenawee|517
605|MI|Tipton|49287|1|42|Lenawee|517
606|MI|Waldron|49288|1|42|Hillsdale|517
607|MI|Ada|49301|1|42|Kent|616
608|MI|Alto|49302|1|42|Kent|616
609|MI|Bailey|49303|1|42|Muskegon|231
610|MI|Baldwin|49304|1|42|Lake|231
611|MI|Barryton|49305|1|42|Mecosta|989
612|MI|Belmont|49306|1|42|Kent|616
613|MI|Big Rapids|49307|1|42|Mecosta|231
614|MI|Bitely|49309|1|42|Newaygo|231
615|MI|Blanchard|49310|1|42|Isabella|989
616|MI|Byron Center|49315|1|42|Kent|616
617|MI|Caledonia|49316|1|42|Kent|616
618|MI|Casnovia|49318|1|42|Muskegon|616
619|MI|Cedar Springs|49319|1|42|Kent|616
620|MI|Comstock Park|49321|1|42|Kent|616
621|MI|Coral|49322|1|42|Montcalm|231
622|MI|Dorr|49323|1|42|Allegan|616
623|MI|Freeport|49325|1|42|Barry|616
624|MI|Gowen|49326|1|42|Kent|616
625|MI|Grant|49327|1|42|Newaygo|231
626|MI|Hopkins|49328|1|42|Allegan|269
627|MI|Howard City|49329|1|42|Montcalm|231
628|MI|Kent City|49330|1|42|Kent|616
629|MI|Lowell|49331|1|42|Kent|616
630|MI|Mecosta|49332|1|42|Mecosta|231
631|MI|Middleville|49333|1|42|Barry|269
632|MI|Morley|49336|1|42|Mecosta|231
633|MI|Newaygo|49337|1|42|Newaygo|231
634|MI|Paris|49338|1|42|Mecosta|231
635|MI|Pierson|49339|1|42|Montcalm|231
636|MI|Remus|49340|1|42|Mecosta|989
637|MI|Rockford|49341|1|42|Kent|616
638|MI|Rodney|49342|1|42|Mecosta|231
639|MI|Sand Lake|49343|1|42|Kent|616
640|MI|Shelbyville|49344|1|42|Allegan|269
641|MI|Sparta|49345|1|42|Kent|616
642|MI|Stanwood|49346|1|42|Mecosta|231
643|MI|Trufant|49347|1|42|Montcalm|616
644|MI|Wayland|49348|1|42|Allegan|269/616
645|MI|White Cloud|49349|1|42|Newaygo|231
646|MI|Allendale|49401|1|42|Ottawa|616
647|MI|Branch|49402|1|42|Mason|231
648|MI|Conklin|49403|1|42|Ottawa|616
649|MI|Coopersville|49404|1|42|Ottawa|616
650|MI|Custer|49405|1|42|Mason|231
651|MI|Fennville|49408|1|42|Allegan|269
652|MI|Fountain|49410|1|42|Mason|231
653|MI|Free Soil|49411|1|42|Mason|231
654|MI|Fremont|49412|1|42|Newaygo|231
655|MI|Fruitport|49415|1|42|Muskegon|231
656|MI|Grand Haven|49417|1|42|Ottawa|616
657|MI|Grandville|49418|1|42|Kent|616
658|MI|Hamilton|49419|1|42|Allegan|269
659|MI|Hart|49420|1|42|Oceana|231
660|MI|Hesperia|49421|1|42|Oceana|231
661|MI|Holland|49423|1|42|Ottawa|616
662|MI|Holland|49424|1|42|Ottawa|616
663|MI|Holton|49425|1|42|Muskegon|231
664|MI|Hudsonville|49426|1|42|Ottawa|616
665|MI|Jenison|49428|1|42|Ottawa|616
666|MI|Ludington|49431|1|42|Mason|231
667|MI|Marne|49435|1|42|Ottawa|616
668|MI|Mears|49436|1|42|Oceana|231
669|MI|Montague|49437|1|42|Muskegon|231
670|MI|Muskegon|49440|1|42|Muskegon|231
671|MI|Muskegon|49441|1|42|Muskegon|231
672|MI|Muskegon|49442|1|42|Muskegon|231
673|MI|Muskegon|49444|1|42|Muskegon|231
674|MI|Muskegon|49445|1|42|Muskegon|231
675|MI|New Era|49446|1|42|Oceana|231
676|MI|Nunica|49448|1|42|Ottawa|616
677|MI|Pentwater|49449|1|42|Oceana|231
678|MI|Pullman|49450|1|42|Allegan|269
679|MI|Ravenna|49451|1|42|Muskegon|231
680|MI|Rothbury|49452|1|42|Oceana|231
681|MI|Saugatuck|49453|1|42|Allegan|269
682|MI|Scottville|49454|1|42|Mason|231
683|MI|Shelby|49455|1|42|Oceana|231
684|MI|Spring Lake|49456|1|42|Ottawa|616
685|MI|Twin Lake|49457|1|42|Muskegon|231
686|MI|Walkerville|49459|1|42|Oceana|616
687|MI|West Olive|49460|1|42|Ottawa|616
688|MI|Whitehall|49461|1|42|Muskegon|231
689|MI|Zeeland|49464|1|42|Ottawa|616
690|MI|GRAND RAPIDS|49503|1|42|Kent|616
691|MI|GRAND RAPIDS|49504|1|42|Kent|616
692|MI|GRAND RAPIDS|49505|1|42|Kent|616
693|MI|GRAND RAPIDS|49506|1|42|Kent|616
694|MI|GRAND RAPIDS|49507|1|42|Kent|616
695|MI|GRAND RAPIDS|49508|1|42|Kent|616
696|MI|WYOMING|49509|1|42|Kent|616
697|MI|GRAND RAPIDS|49512|1|42|Kent|616
698|MI|WYOMING|49519|1|42|Kent|616
699|MI|GRAND RAPIDS|49525|1|42|Kent|616
700|MI|GRAND RAPIDS|49534|1|42|Kent|616
701|MI|GRAND RAPIDS|49544|1|42|Kent|616
702|MI|GRAND RAPIDS|49546|1|42|Kent|616
703|MI|GRAND RAPIDS|49548|1|42|Kent|616
704|MI|Cadillac|49601|1|42|Wexford|616
705|MI|Alden|49612|1|42|Antrim|231
706|MI|Arcadia|49613|1|42|Manistee|231
707|MI|Bear Lake|49614|1|42|Manistee|231
708|MI|Bellaire|49615|1|42|Antrim|231
709|MI|Benzonia|49616|1|42|Benzie|231
710|MI|Beulah|49617|1|42|Benzie|231
711|MI|Boon|49618|1|42|Wexford|231
712|MI|Brethren|49619|1|42|Manistee|231
713|MI|Buckley|49620|1|42|Wexford|231
714|MI|Cedar|49621|1|42|Leelanau|231
715|MI|Central Lake|49622|1|42|Antrim|231
716|MI|Chase|49623|1|42|Lake|231
717|MI|Copemish|49625|1|42|Manistee|231
718|MI|Elk Rapids|49629|1|42|Antrim|231
719|MI|Empire|49630|1|42|Leelanau|231
720|MI|Evart|49631|1|42|Osceola|231
721|MI|Falmouth|49632|1|42|Missaukee|231
722|MI|Fife Lake|49633|1|42|Kalkaska|231
723|MI|Frankfort|49635|1|42|Benzie|231
724|MI|Glen Arbor|49636|1|42|Leelanau|231
725|MI|Grawn|49637|1|42|Grand Traverse|231
726|MI|Harrietta|49638|1|42|Wexford|231
727|MI|Hersey|49639|1|42|Osceola|231
728|MI|Honor|49640|1|42|Benzie|231
729|MI|Idlewild|49642|1|42|Lake|231
730|MI|Interlochen|49643|1|42|Grand Traverse|231
731|MI|Irons|49644|1|42|Lake|231
732|MI|Kaleva|49645|1|42|Manistee|231
733|MI|Kalkaska|49646|1|42|Kalkaska|231
734|MI|Kewadin|49648|1|42|Antrim|231
735|MI|Kingsley|49649|1|42|Grand Traverse|231
736|MI|Lake Ann|49650|1|42|Benzie|231
737|MI|Lake City|49651|1|42|Missaukee|231
738|MI|Lake Leelanau|49653|1|42|Leelanau|231
739|MI|Leland|49654|1|42|Leelanau|231
740|MI|Leroy|49655|1|42|Osceola|231
741|MI|Luther|49656|1|42|Lake|231
742|MI|Mc Bain|49657|1|42|Missaukee|231
743|MI|Mancelona|49659|1|42|Antrim|231
744|MI|Manistee|49660|1|42|Manistee|231
745|MI|Manton|49663|1|42|Wexford|231
746|MI|Maple City|49664|1|42|Leelanau|231
747|MI|Marion|49665|1|42|Osceola|231
748|MI|Merritt|49667|1|42|Missaukee|231
749|MI|Mesick|49668|1|42|Wexford|231
750|MI|Northport|49670|1|42|Leelanau|231
751|MI|Onekama|49675|1|42|Manistee|231
752|MI|Rapid City|49676|1|42|Kalkaska|231
753|MI|Reed City|49677|1|42|Osceola|231
754|MI|Sears|49679|1|42|Osceola|231
755|MI|South Boardman|49680|1|42|Kalkaska|231
756|MI|Suttons Bay|49682|1|42|Leelanau|231
757|MI|Thompsonville|49683|1|42|Benzie|231
758|MI|Traverse City|49684|1|42|Grand Traverse|231
759|MI|Traverse City|49686|1|42|Grand Traverse|231
760|MI|Tustin|49688|1|42|Osceola|231
761|MI|Wellston|49689|1|42|Manistee|231
762|MI|Williamsburg|49690|1|42|Grand Traverse|231
763|MI|Mackinaw City|49701|1|42|Cheboygan|231
764|MI|Afton|49705|1|42|Cheboygan|231
765|MI|Alanson|49706|1|42|Emmet|231
766|MI|Alpena|49707|1|42|Alpena|989
